Major	전공
Minor	부전공
Class	수업
Grade	성적
Query	질의
Point	포인트
Table	표
Chart	차트
Check	확인
Refer	참고
Probe	탐침
Laser	레이저
Meter	미터
Gauge	게이지
Cycle	주기
Phase	단계
Force	힘
Power	전력
Field	분야
Layer	층
Logic	논리
Input	입력
Debug	디버그
Index	색인
Pixel	픽셀
Codes	코드
Files	파일
Stack	스택
Array	배열
Patch	패치
Token	토큰
Motor	모터
Servo	서보
Track	트랙
Screw	나사
Metal	금속
Panel	패널
Board	보드
Drive	드라이브
Wired	유선
Lever	지레
Ohmic	오믹
Diode	다이오드
Capac	캐패시터
Resis	저항기
Range	범위
Limit	한계
Ratio	비율
Slope	기울기
Angle	각도
Scale	척도
Solve	해결
Proof	증명
Value	값
Prime	소수
Bound	경계
Curve	곡선
Block	건물
Event	행사
Print	출력
Paper	논문
Voice	음성
Audio	오디오
Cloud	클라우드
Tools	도구
Plans	계획
Tasks	과제
Model	모델
Align	정렬
Adapt	적응
Merge	병합
Split	분할
Train	훈련
Group	그룹
Trend	경향
State	상태
Trait	특성
Focus	집중
Draft	초안
Topic	주제
Store	저장
name	이름
